td,SP500
2011-10-05,0.017865658
2011-10-06,0.018303633
2011-10-07,-0.008163333
2011-10-10,0.034124970000000004
2011-10-11,5.43952e-4
2011-10-12,0.009794712
2011-10-13,-0.0029736757
2011-10-14,0.017380238
2011-10-17,-0.0193699
2011-10-18,0.020418763000000003
2011-10-19,-0.012649119
2011-10-20,0.0045541525
2011-10-21,0.018808722
2011-10-24,0.012872934
2011-10-25,-0.020044744
2011-10-26,0.010536551
2011-10-27,0.034291387
2011-10-28,3.8921833e-4
2011-10-31,-0.024737477
2011-11-01,-0.027942239999999997
2011-11-02,0.016104698
2011-11-03,0.018781781
2011-11-04,-0.006280005
2011-11-07,0.006295800000000001
2011-11-08,0.011735678000000001
2011-11-09,-0.036695123
2011-11-10,0.0086152554
2011-11-11,0.019489527
2011-11-14,-0.009550154
2011-11-15,0.0048171282
2011-11-16,-0.016613066
2011-11-17,-0.016803086000000002
2011-11-18,-3.9470196e-4
2011-11-21,-0.018648505
2011-11-22,-0.004140854
2011-11-23,-0.022095202999999997
2011-11-24,0
2011-11-25,-0.0026854873
2011-11-28,0.02924037
2011-11-29,0.0022135973
2011-11-30,0.04331529
2011-12-01,-0.0019086600000000002
2011-12-02,-2.4098158000000002e-4
2011-12-05,0.010287046
2011-12-06,0.0011057854
2011-12-07,0.0020183325
2011-12-08,-0.021141827000000002
2011-12-09,0.016883373
2011-12-12,-0.014914035999999999
2011-12-13,-0.008686006
2011-12-14,-0.011348367
2011-12-15,0.0032430887
2011-12-16,0.0032161474
2011-12-19,-0.011732817
2011-12-20,0.02982545
2011-12-21,0.0019495487
2011-12-22,0.0082654953
2011-12-23,0.0090351105
2011-12-26,0
2011-12-27,7.915497000000001e-5
2011-12-28,-0.012477994
2011-12-29,0.010707139999999999
2011-12-30,-0.0042913556
2012-01-02,0
2012-01-03,0.015473962
2012-01-04,1.8787384e-4
2012-01-05,0.0029437542
2012-01-06,-0.0025369525
2012-01-09,0.0022616386
2012-01-10,0.008885741
2012-01-11,3.0958652e-4
2012-01-12,0.0023366212999999998
2012-01-13,-0.0049479008
2012-01-16,0
2012-01-17,0.0035529137
2012-01-18,0.011107922
2012-01-19,0.0049386024
2012-01-20,6.694794e-4
2012-01-23,4.7135353e-4
2012-01-24,-0.0010257959
2012-01-25,0.0086791515
2012-01-26,-0.005753875
2012-01-27,-0.0015928745
2012-01-30,-0.002522111
2012-01-31,-4.569292e-4
